 3-(3)海上出入貨物係留施設別表,,,,,,,,,,,,,,(単位：トン）
,合計,,外貿,,,,,,内貿,,,,,
係留施設,,,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,当月,1月以降累計,計,輸出,輸入,計,輸出,輸入,計,移出,移入,計,移出,移入
合計,"7,760,119 ","45,253,461 ","4,190,902 ","1,223,614 ","2,967,288 ","24,376,638 ","6,539,796 ","17,836,842 ","3,569,217 ","1,372,420 ","2,196,797 ","20,876,823 ","8,042,056 ","12,834,767 "
公共計,"3,661,089 ","21,024,852 ","1,224,767 ","260,080 ","964,687 ","6,978,548 ","1,350,518 ","5,628,030 ","2,436,322 ","1,250,810 ","1,185,512 ","14,046,304 ","7,243,484 ","6,802,820 "
ドルフィン,"7,086 ","32,104 ",-,-,-,-,-,-,"7,086 ","7,086 ",-,"32,104 ","32,104 ",-
芝浦ふ頭,"64,148 ","413,974 ",-,-,-,-,-,-,"64,148 ","1,776 ","62,372 ","413,974 ","10,444 ","403,530 "
芝浦物揚場,"5,780 ","47,853 ",-,-,-,-,-,-,"5,780 ","3,841 ","1,939 ","47,853 ","32,278 ","15,575 "
日の出ふ頭,"4,375 ","18,910 ",-,-,-,-,-,-,"4,375 ",-,"4,375 ","18,910 ",-,"18,910 "
竹芝ふ頭,"4,208 ","37,822 ",-,-,-,-,-,-,"4,208 ","3,086 ","1,122 ","37,822 ","24,705 ","13,117 "
品川岸壁,"689,115 ","3,958,665 ","378,241 ","96,423 ","281,818 ","2,155,578 ","490,242 ","1,665,336 ","310,874 ","181,892 ","128,982 ","1,803,087 ","1,079,126 ","723,961 "
 品川コンテナ,"366,427 ","2,106,795 ","366,427 ","93,710 ","272,717 ","2,106,788 ","483,351 ","1,623,437 ",-,-,-,7 ,7 ,-
 品川外貿,"11,814 ","48,790 ","11,814 ","2,713 ","9,101 ","48,790 ","6,891 ","41,899 ",-,-,-,-,-,-
 品川内貿,"310,874 ","1,803,080 ",-,-,-,-,-,-,"310,874 ","181,892 ","128,982 ","1,803,080 ","1,079,119 ","723,961 "
月島ふ頭,917 ,"8,844 ",-,-,-,-,-,-,917 ,231 ,686 ,"8,844 ","3,872 ","4,972 "
10号西岸壁,"566,450 ","3,154,842 ",-,-,-,-,-,-,"566,450 ","324,700 ","241,750 ","3,154,842 ","1,835,896 ","1,318,946 "
10号東岸壁,"30,462 ","189,838 ",-,-,-,-,-,-,"30,462 ",48 ,"30,414 ","189,838 ",667 ,"189,171 "
東京港フェリーふ頭,"950,475 ","5,325,980 ",-,-,-,-,-,-,"950,475 ","496,290 ","454,185 ","5,325,980 ","2,806,195 ","2,519,785 "
辰巳ふ頭,"32,440 ","183,057 ",-,-,-,-,-,-,"32,440 ","13,760 ","18,680 ","183,057 ","74,854 ","108,203 "
青海コンテナふ頭（公共）,"805,846 ","4,530,184 ","794,143 ","163,657 ","630,486 ","4,444,234 ","859,258 ","3,584,976 ","11,703 ","5,800 ","5,903 ","85,950 ","59,461 ","26,489 "
大井水産物ふ頭,-,"1,221 ",-,-,-,"1,018 ","1,018 ",-,-,-,-,203 ,60 ,143 
大井食品ふ頭（OL）,"25,381 ","169,143 ","25,381 ",-,"25,381 ","141,488 ",-,"141,488 ",-,-,-,"27,655 ",-,"27,655 "
大井食品ふ頭（OM）,"11,863 ","63,863 ","11,863 ",-,"11,863 ","63,863 ",-,"63,863 ",-,-,-,-,-,-
大井食品ふ頭（ON）,"5,300 ","5,300 ","5,300 ",-,"5,300 ","5,300 ",-,"5,300 ",-,-,-,-,-,-
若洲内貿ふ頭,"55,354 ","336,386 ",-,-,-,-,-,-,"55,354 ","42,862 ","12,492 ","336,386 ","239,488 ","96,898 "
15号地木材ふ頭,"8,406 ","57,113 ","8,406 ",-,"8,406 ","54,437 ",-,"54,437 ",-,-,-,"2,676 ","2,676 ",-
若洲建材ふ頭,"37,651 ","338,194 ",-,-,-,-,-,-,"37,651 ","3,480 ","34,171 ","338,194 ","18,141 ","320,053 "
大井建材ふ頭,"143,278 ","761,322 ",-,-,-,-,-,-,"143,278 ","1,800 ","141,478 ","761,322 ","1,800 ","759,522 "
城南島建設発生土ふ頭,"80,370 ","628,500 ",-,-,-,-,-,-,"80,370 ","80,370 ",-,"628,500 ","628,500 ",-
中央防波堤内側ばら物ふ頭,"6,814 ","136,838 ","1,433 ",-,"1,433 ","112,630 ",-,"112,630 ","5,381 ","1,978 ","3,403 ","24,208 ","5,658 ","18,550 "
中央防波堤内側建設発生土ふ頭,"35,414 ","138,992 ",-,-,-,-,-,-,"35,414 ","35,414 ",-,"138,992 ","138,992 ",-
中央防波堤内側内貿ふ頭,"89,956 ","484,157 ",-,-,-,-,-,-,"89,956 ","46,396 ","43,560 ","484,157 ","248,567 ","235,590 "
その他,-,"1,750 ",-,-,-,-,-,-,-,-,-,"1,750 ",-,"1,750 "
東京港埠頭㈱計,"2,830,053 ","17,088,491 ","2,710,137 ","913,901 ","1,796,236 ","16,216,263 ","4,988,255 ","11,228,008 ","119,916 ","58,028 ","61,888 ","872,228 ","464,062 ","408,166 "
青海コンテナふ頭(埠頭㈱),"622,760 ","3,593,679 ","612,880 ","140,470 ","472,410 ","3,538,864 ","775,196 ","2,763,668 ","9,880 ","9,880 ",-,"54,815 ","51,793 ","3,022 "
お台場ライナーふ頭,"89,769 ","464,339 ","71,088 ","62,747 ","8,341 ","376,535 ","254,307 ","122,228 ","18,681 ","1,659 ","17,022 ","87,804 ","10,337 ","77,467 "
大井コンテナふ頭,"2,117,524 ","13,030,473 ","2,026,169 ","710,684 ","1,315,485 ","12,300,864 ","3,958,752 ","8,342,112 ","91,355 ","46,489 ","44,866 ","729,609 ","401,932 ","327,677 "
民間計,"1,268,977 ","7,140,118 ","255,998 ","49,633 ","206,365 ","1,181,827 ","201,023 ","980,804 ","1,012,979 ","63,582 ","949,397 ","5,958,291 ","334,510 ","5,623,781 "
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
070","527,882","2,441,188","2,975,707","470,365","2,505,342","-6,637",99.8%,,,,,,,
58,糸及び紡績半製品,"82,265","7,491","74,774","95,866","11,077","84,789","-13,601",85.8%,,,,,,,
59,その他繊維工業品,"411,760","65,430","346,330","384,345","57,576","326,769","27,415",107.1%,,,,,,,
60,砂糖,"124,826","16,188","108,638","108,281","10,209","98,072","16,545",115.3%,,,,,,,
61,製造食品,"3,039,726","455,259","2,584,467","2,801,844","433,437","2,368,407","237,882",108.5%,,,,,,,
62,飲料,"1,288,365","356,398","931,967","1,226,682","357,574","869,108","61,683",105.0%,,,,,,,
63,水,"327,211","116,907","210,304","344,442","112,230","232,212","-17,231",95.0%,,,,,,,
64,たばこ,"103,659","13,228","90,431","102,605","14,105","88,500","1,054",101.0%,,,,,,,
65,その他食料工業品,"363,460","28,639","334,821","346,295","6,443","339,852","17,165",105.0%,,,,,,,
雑工業品,,"11,944,548","1,512,269","10,432,279","11,373,126","1,436,905","9,936,221","571,422",105.0%,,,,,,,
66,がん具,"660,795","18,163","642,632","619,652","18,339","601,313","41,143",106.6%,,,,,,,
67,衣服、身廻品、はきもの,"4,815,801","196,273","4,619,528","4,636,867","205,671","4,431,196","178,934",103.9%,,,,,,,
68,文房具、運動娯楽用品、楽器,"829,735","139,326","690,409","814,222","137,243","676,979","15,513",101.9%,,,,,,,
69,家具装備品,"2,230,527","118,616","2,111,911","2,190,293","127,575","2,062,718","40,234",101.8%,,,,,,,
70,その他日用品,"780,471","293,256","487,215","732,693","260,754","471,939","47,778",106.5%,,,,,,,
71,ゴム製品,"839,344","393,139","446,205","759,240","375,817","383,423","80,104",110.6%,,,,,,,
72,木製品,"1,157,334","31,449","1,125,885","1,068,625","28,049","1,040,576","88,709",108.3%,,,,,,,
73,その他製造工業品,"630,541","322,047","308,494","551,534","283,457","268,077","79,007",114.3%,,,,,,,
特殊品,,"14,683,180","9,052,654","5,630,526","14,408,443","8,803,968","5,604,475","274,737",101.9%,,,,,,,
74,金属くず,"705,479","619,473","86,006","741,138","665,380","75,758","-35,659",95.2%,,,,,,,
75,再利用資材,"2,803,898","2,735,812","68,086","2,981,587","2,910,430","71,157","-177,689",94.0%,,,,,,,
76,動植物性製造飼肥料,"1,133,827","71,502","1,062,325","955,843","38,908","916,935","177,984",118.6%,,,,,,,
77,廃棄物,"14,050","4,755","9,295","13,553","4,285","9,268",497,103.7%,,,,,,,
78,廃土砂,"1,990,989","1,988,532","2,457","1,494,551","1,481,746","12,805","496,438",133.2%,,,,,,,
79,輸送用容器,"1,587,563","300,930","1,286,633","1,518,299","311,622","1,206,677","69,264",104.6%,,,,,,,
80,取合せ品,"6,447,374","3,331,650","3,115,724","6,703,472","3,391,597","3,311,875","-256,098",96.2%,,,,,,,
分類不能のもの,,-,-,-,-,-,-,-,-,,,,,,,
分類不能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,2,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,,2,1,3,2,2,2,0,1,0,0,0,0,,1,1,1,1,1,1,1,1
7567162,2020/11/7 14:32,2,34,5,14,3,5,1,1,1,0,0,0,0,0,0,0,2,1,,,,,,,,,,,,,,2,,2,,2,6,5,1,6,1,3,0,1,0,0,0,0,0,0,0,0,0,0,,2,1,1,1,1,3,0,0,1,0,0,0,,,,,,,2,3,2
7579966,2020/11/7 13:45,2,23,3,14,3,5,2,1,1,0,0,0,0,0,0,0,2,1,1,,,,,,,,,,,,,18,,1,,1,6,5,2,5,2,4,0,0,0,0,0,0,0,0,0,1,0,0,,2,2,3,3,3,3,0,1,1,1,0,0,,1,1,1,1,1,2,2,1
7624582,2020/11/7 16:08,2,29,4,13,3,5,5,1,1,0,0,0,0,0,0,0,2,2,2,0,1,1,0,0,0,0,0,0,,1,1,20,事務,2,,1,2,1,2,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,,1,2,2,2,2,2,1,0,0,0,0,0,,2,1,1,1,1,1,2,1
7638338,2020/11/7 17:19,1,55,10,11,3,5,1,1,1,0,0,0,0,0,0,0,3,1,,,,,,,,,,,,,,4,,11,模型組立製造,2,6,5,3,6,1,4,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,0,0,1,1,0,0,,,,,,,1,2,1
