< 輸  出 >,4-(2)外貿コンテナ貨物航路別・主要品種別表,,,,,,(単位：トン）
航 路 名,計,,第１位,第２位,第３位,第４位,第５位
,,構成比,,,,,
合計,,,再利用資材,産業機械,その他化学工業品,自動車部品,電気機械
,"1,156,956",100.0%,"231,131","161,550","147,952","140,054","68,322"
,105.8%,,100.6%,99.2%,105.2%,120.1%,105.4%
世界一周,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
北米西岸(メキシコ含む),,,自動車部品,産業機械,電気機械,その他化学工業品,ゴム製品
,"204,825",17.7%,"68,534","38,185","13,483","12,577","7,589"
,99.2%,,106.4%,88.7%,92.9%,95.4%,96.7%
北米東岸(カリビア海含む),,,産業機械,自動車部品,紙・パ　ル　プ,その他化学工業品,電気機械
,"50,531",4.4%,"19,586","10,037","4,196","3,295","3,280"
,107.0%,,117.3%,169.8%,101.2%,48.1%,142.2%
北欧・地中海,,,産業機械,ゴム製品,その他化学工業品,電気機械,再利用資材
,"109,171",9.4%,"24,349","15,123","11,964","8,246","8,186"
,108.7%,,106.6%,94.3%,107.0%,153.2%,527.1%
南米西岸,,,その他化学工業品,その他日用品,製造食品,飲料,化学薬品
,466,0.0%,352,45,30,24,15
,27.5%,,86.3%,-,13.6%,-,18.8%
南米東岸,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
南米東岸･南ア経由,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
アフリカ,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
オセアニア,,,その他化学工業品,産業機械,その他製造工業品,製造食品,自動車部品
,"13,205",1.1%,"3,823","2,086","1,356",621,531
,492.0%,,1041.7%,592.6%,3013.3%,197.1%,431.7%
印パ･ペルシャ･ベンガル,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
東南アジア,,,再利用資材,その他化学工業品,産業機械,自動車部品,電気機械
,"502,483",43.4%,"95,679","73,143","54,119","45,424","27,680"
,141.2%,,107.8%,161.3%,167.9%,148.9%,176.3%
台湾,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
韓国,,,再利用資材,その他化学工業品,産業機械,電気機械,金属くず
,"42,143",3.6%,"11,677","6,352","4,242","3,289","2,005"
,102.3%,,128.7%,86.0%,106.5%,71.2%,284.4%
中国(香港含む),,,再利用資材,その他化学工業品,産業機械,電気機械,自動車部品
,"234,132",20.2%,"108,619","36,446","18,983","12,198","8,084"
,90.7%,,88.4%,100.9%,68.5%,105.5%,201.6%
ナホトカ,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
各下段： 対前年比％,,,,,,,
合計,,,再利用,
15,木材チップ,15,-,30,-,-,443,-,90,15,木材チップ,-,262,-,-,-,60,90,,,,,,,
16,その他林産品,"1,590",60,-,-,30,-,-,225,16,その他林産品,165,-,-,-,-,582,-,,,,,,,
17,薪炭,"6,200","4,417",165,"3,720",179,-,"1,044",540,17,薪炭,-,300,-,-,579,413,"1,410",,,,,,,
鉱産品,,"6,611","4,161","7,202","15,005","2,332","2,086","9,013","10,437",鉱産品,,538,642,"2,902",646,"29,231","10,639","53,009",,,,,,,
18,石炭,"1,341",165,270,465,-,360,240,"1,583",18,石炭,45,-,-,-,"1,460",579,-,,,,,,,
19,鉄鉱石,30,-,15,-,-,-,8,-,19,鉄鉱石,75,-,-,-,10,-,-,,,,,,,
20,金属鉱,75,-,270,705,-,-,315,840,20,金属鉱,-,390,210,-,150,-,-,,,,,,,
21,砂利、砂,150,6,165,"1,110",360,204,700,291,21,砂利、砂,-,-,320,278,915,630,10,,,,,,,
22,石材,"1,553",45,"1,890","11,315",337,33,765,"1,755",22,石材,178,-,57,-,"5,234","3,361","52,838",,,,,,,
23,原油,-,-,90,120,-,-,-,-,23,原油,-,-,"1,170",-,-,-,-,,,,,,,
24,りん鉱石,-,-,-,-,-,-,-,-,24,りん鉱石,-,-,12,-,-,-,-,,,,,,,
25,石灰石,585,-,-,-,-,-,-,-,25,石灰石,-,-,22,210,-,-,-,,,,,,,
26,原塩,30,-,135,705,-,-,-,193,26,原塩,240,15,122,50,30,-,86,,,,,,,
27,非金属鉱物,"2,847","3,945","4,367",585,"1,635","1,489","6,985","5,775",27,非金属鉱物,-,237,989,108,"21,432","6,069",75,,,,,,,
金属機械工業品,,"1,331,270","659,145","679,424","110,938","586,768","23,465","281,359","149,711",金属機械工業品,,"510,101","55,420","162,747","12,458","383,800","255,019","248,249",,,,,,,
28,鉄鋼,"1,643",-,540,330,-,30,"3,412","3,969",28,鉄鋼,240,-,105,-,"2,639",30,80,,,,,,,
29,鋼材,"8,116","4,418",762,"1,822",240,246,"20,607","4,238",29,鋼材,599,407,"2,369",30,"10,420","1,854",30,,,,,,,
30,非鉄金属,"29,304","14,931","8,237","1,324","3,609","1,275","18,147","2,474",30,非鉄金属,"3,542","1,539","6,176",220,"5,795","2,088","1,180",,,,,,,
31,金属製品,"179,781","127,720","45,695","21,666","50,458","8,121","37,638","9,691",31,金属製品,"107,399","40,100","55,478","2,355","31,395","64,382","69,959",,,,,,,
32,鉄道車両,74,18,75,-,184,-,-,90,32,鉄道車両,-,-,50,-,-,147,-,,,,,,,
33,完成自動車,"2,266","1,211",632,17,-,"1,101","3,022","3,993",33,完成自動車,-,501,"1,936",940,41,41,150,,,,,,,
34,その他の輸送用車両,"19,299",227,"4,453","16,814","2,927",15,"3,146","1,684",34,その他の輸送用車両,"18,588",198,672,-,359,474,78,,,,,,,
35,二輪自動車,878,"2,640","1,217",116,703,390,315,841,35,二輪自動車,"15,197",-,"2,808",18,690,-,43,,,,,,,
36,自動車部品,"61,072","85,802","42,102","11,936","18,619","5,010","53,224","27,666",36,自動車部品,"7,160","1,510","27,417","1,234","7,172","2,107","35,025",,,,,,,
37,その他輸送機械,"22,365",187,"3,410",383,"13,134",360,"1,454","1,097",37,その他輸送機械,"28,049",594,"1,194",751,"221,211",-,"1,065",,,,,,,
38,産業機械,"258,905","107,635","90,412","15,180","137,182","3,801","51,086","36,233",38,産業機械,"85,965","6,894","26,129","2,425","50,401","81,148","5,064",,,,,,,
39,電気機械,"660,221","276,044","402,228","36,505","285,312","1,765","78,960","30,494",39,電気機械,"234,411","2,738","27,708","3,535","50,039","99,304","121,461",,,,,,,
40,測量・光学・医療器械,"60,396","21,443","34,227","2,833","34,707","1,351","8,764","14,720",40,測量・光学・医療器械,"7,759",898,"9,315",849,"3,551","3,095","13,353",,,,,,,
41,事務用機械,"24,338","12,491","43,161","1,800","35,966",-,920,616,41,事務用機械,"1,103",11,120,30,87,255,761,,,,,,,
42,その他機械,"2,612","4,378","2,273",212,"3,727",-,664,"11,905",42,その他機械,89,30,"1,270",71,-,94,-,,,,,,,
化学工業品,,"314,604","271,649","91,694","90,998","53,882","31,330","227,486","180,527",化学工業品,,"90,410","36,430","187,756","24,017","116,939","36,045","27,976",,,,,,,
43,陶磁器,"7,885","14,647","19,796","2,596","11,599",392,657,"9,254",43,陶磁器,631,292,842,215,"3,356",214,"11,169",,,,,,,
44,セメント,183,"1,035",150,-,-,-,300,420,44,セメント,-,-,90,-,210,-,45,,,,,,,
45,ガラス類,"34,723","10,183","4,107","5,015","8,835",204,"6,961","1,972",45,ガラス類,"2,231","6,540","2,231","1,185","2,252","1,384",565,,,,,,,
46,窯業品,"13,606","2,338","2,996","13,374","7,048","7,284","7,903","4,914",46,窯業品,"2,142","6,244","9,391","1,302","66,402","10,228",936,,,,,,,
47,重油,-,-,-,-,-,-,-,-,47,重油,-,-,-,-,-,-,-,,,,,,,
48,石油製品,480,180,774,-,-,389,"2,478","1,535",48,石油製品,-,135,"2,076",60,-,-,15,,,,,,,
49,LNG/液化天然ガス,-,-,-,-,-,-,285,-,49,LNG/液化天然ガス,-,-,-,-,-,-,-,,,,,,,
50,LPG/液化石油ガス,-,-,-,-,-,-,-,-,50,LPG/液化石油ガス,-,-,-,-,-,-,-,,,,,,,
51,その他石油製品,345,150,266,45,45,"1,651",582,105,51,その他石油製品,-,120,932,-,135,12,-,,,,,,,
52,コークス,30,-,-,345,-,-,90,-,52,コークス,-,-,-,-,"2,826",-,-,,,,,,,
53,石炭製品,30,-,-,-,-,-,-,15,53,石炭製品,-,-,315,-,-,-,-,,,,,,,
54,化学薬品,"57,024","29,224","15,302","35,957","3,172","6,708","42,666","25,592",54,化学薬品,"8,692","6,887","49,593","3,040","23,983","5,220","3,413",,,,,,,
55,化学肥料,"3,313",-,690,"4,526",30,288,"3,126",615,55,化学肥料,"5,580",583,733,225,"2,040",225,150,,,,,,,
56,その他化学工業品,"196,985","213,892","47,613","29,140","23,153","14,414","162,438","136,105",56,その他化学工業品,"71,134","15,629","121,553","17,990","15,735","18,762","11,683",,,,,,,
軽工業品,,"220,492","385,558","134,298","232,550","26,486","117,107","331,057","266,628",軽工業品,,"114,429","341,828","137,486","199,942","74,192","84,178","61,743",,,,,,,
57,紙、パルプ,"38,035","2,265","41,105","4,905","4,829","9,920","35,530","11,828",57,紙、パルプ,"87,891","69,078","11,258",465,"14,981","9,617","6,430",,,,,,,
58,糸及び紡績半製品,"13,891","2,954",666,"1,330",487,-,"8,448","4,679",58,糸及び紡績半製品,"1,757",30,180,30,120,630,120,,,,,,,
59,その他繊維工業品,"77,915","25,132","9,748","12,519","11,584",101,"15,964","9,475",59,その他繊維工業品,"21,504",869,"3,785",146,"16,608","4,912","4,046",,,,,,,
60,砂糖,"1,298",30,212,270,"1,095","5,106",787,708,60,砂糖,-,"3,830","4,524","7,625",225,2,-,,,,,,,
61,製造食品,"59,731","346,512","49,516","209,562","8,401","30,984","131,507","124,101",61,製造食品,"1,056","222,005","83,056","110,403","40,715","68,758","49,008",,,,,,,
62,飲料,"8,671","8,455","28,250","3,668",90,919,"87,313","83,053",62,飲料,-,"17,425","21,058","24,068",390,34,"1,209",,,,,,,
63,水,"18,226",-,"1,818",30,-,"3,917","1,171","16,259",63,水,-,"28,230","13,069","56,474",-,210,585,,,,,,,
64,たばこ,80,-,492,-,-,59,"49,271","1,225",64,たばこ,-,-,30,-,435,-,150,,,,,,,
65,その他食料工業品,"2,645",210,"2,491",266,-,"66,101","1,066","15,300",65,その他食料工業品,"2,221",361,526,731,718,15,195,,,,,,,
雑工業品,,"2,105,245","323,763","734,957","812,728","814,399","70,838","165,382","309,849",雑工業品,,"307,314","34,075","72,394","7,521","147,515","229,400","214,247",,,,,,,
66,がん具,"64,334","21,064","235,451","4,952","130,355",285,"2,239","1,393",66,がん具,"5,454",217,805,315,186,636,"12,376",,,,,,,
67,衣服、身廻品、はきもの,"1,433,800","67,545","292,802","621,822","253,705","1,838","24,811","160,364",67,衣服、身廻品、はきもの,"98,938","2,645","15,808",776,"60,265","87,378","117,669",,,,,,,
68,文房具、運動娯楽用品、楽器,"92,283","7,359","73,504","19,756","79,938","1,863","19,497","14,731",68,文房具、運動娯楽用品、楽器,"5,250","9,799","16,776","1,224","2,777","5,899","30,482",,,,,,,
69,家具装備品,"366,710","76,300","68,059","83,185","280,471","3,700","28,162","26,659",69,家具装備品,"78,822","1,973","11,537","1,553","54,383","75,993","42,241",,,,,,,
70,その他日用品,"40,662","39,659","13,620","17,784","22,073","2,669","13,458","21,911",70,その他日用品,"101,434","11,342","13,042","1,517","15,771","2,564",819,,,,,,,
71,ゴム製品,"27,271","100,360","22,104","27,476","3,020",491,"25,630","15,877",71,ゴム製品,"3,490",162,"5,095",381,"1,427","9,295",972,,,,,,,
72,木製品,"32,496","6,622","16,907","24,222","12,698","58,239","38,527","53,755",72,木製品,"2,894","6,551",577,840,"9,759","46,417","4,491",,,,,,,
73,その他製造工業品,"47,689","4,854","12,510","13,531","32,139","1,753","13,058","15,159",73,その他製造工業品,"11,032","1,386","8,754",915,"2,947","1,218","5,197",,,,,,,
特殊品,,"277,540","199,687","123,047","79,639","91,093","113,780","78,524","86,680",特殊品,,"75,566","441,726","270,587","59,037","47,623","41,830","27,614",,,,,,,
