,,特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t)
市町村コード,区市町村名,29,30,31,32,33,29,30,31,32,33,29,30,31,32,33
101,千代田区,68,68,68,68,68,0,0,0,0,0,68,68,68,68,68
102,中央区,,,,,,,,,,,,,,,
103,港区,,,,,,,,,,,,,,,
104,新宿区,,,,,,,,,,,,,,,
105,文京区,,,,,,,,,,,,,,,
106,台東区,,,,,,,,,,,,,,,
107,墨田区,,,,,,,,,,,,,,,
108,江東区,,,,,,,,,,,,,,,
109,品川区,91,91,91,92,92,0,0,0,0,0,91,91,91,92,92
110,目黒区,,,,,,,,,,,,,,,
111,大田区,,,,,,,,,,,,,,,
112,世田谷区,,,,,,,,,,,,,,,
113,渋谷区,,,,,,,,,,,,,,,
114,中野区,,,,,,,,,,,,,,,
115,杉並区,,,,,,,,,,,,,,,
116,豊島区,7,8,8,8,8,0,0,0,0,0,7,8,8,8,8
117,北区,,,,,,,,,,,,,,,
118,荒川区,,,,,,,,,,,,,,,
119,板橋区,,,,,,,,,,,,,,,
120,練馬区,,,,,,,,,,,,,,,
121,足立区,,,,,,,,,,,,,,,
122,葛飾区,,,,,,,,,,,,,,,
123,江戸川区,,,,,,,,,,,,,,,
201,八王子市,,,,,,,,,,,,,,,
202,立川市,,,,,,,,,,,,,,,
203,武蔵野市,,,,,,,,,,,,,,,
204,三鷹市,157,157,158,157,157,0,0,0,0,0,157,157,158,157,157
205,青梅市,166,165,165,164,163,0,0,0,0,0,166,165,165,164,163
206,府中市,,,,,,,,,,,,,,,
207,昭島市,,,,,,,,,,,,,,,
208,調布市,200,200,202,201,202,0,0,0,0,0,200,200,202,201,202
209,町田市,206,206,206,207,206,0,0,0,0,0,206,206,206,207,206
210,小金井市,,,,,,,,,,,,,,,
211,小平市,389,389,403,409,414,0,0,0,0,0,389,389,403,409,414
212,日野市,,,,,,,,,,,,,,,
213,東村山市,,,,,,,,,,,,,,,
214,国分寺市,139,140,140,139,139,0,0,0,0,0,139,140,140,139,139
215,国立市,,,,,,,,,,,,,,,
218,福生市,87,86,86,85,85,0,0,0,0,0,87,86,86,85,85
219,狛江市,689,692,697,701,697,0,0,0,0,0,689,692,697,701,697
220,東大和市,,,,,,,,,,,,,,,
221,清瀬市,94,94,94,94,94,94,94,94,94,94,0,0,0,0,0
222,東久留米市,,,,,,,,,,,,,,,
223,武蔵村山市,,,,,,,,,,,,,,,
224,多摩市,,,,,,,,,,,,,,,
225,稲城市,,,,,,,,,,,,,,,
227,羽村市,,,,,,,,,,,,,,,
228,あきる野市,,,,,,,,,,,,,,,
229,西東京市,,,,,,,,,,,,,,,
303,瑞穂町,,,,,,,,,,,,,,,
305,日の出町,,,,,,,,,,,,,,,
307,檜原村,,,,,,,,,,,,,,,
308,奥多摩町,,,,,,,,,,,,,,,
361,大島町,,,,,,,,,,,,,,,
362,利島村,,,,,,,,,,,,,,,
363,新島村,,,,,,,,,,,,,,,
364,神津島村,,,,,,,,,,,,,,,
381,三宅村,,,,,,,,,,,,,,,
382,御蔵島村,,,,,,,,,,,,,,,
401,八丈町,,,,,,,,,,,,,,,
402,青ヶ島村,,,,,,,,,,,,,,,
421,小笠原村,1,1,1,1,1,,,,,,1,1,1,1,1
,全区市町村合計,2294,2297,2319,2326,2326,94,94,94,94,94,2200,2203,2225,2232,2232
,23区,166,167,167,168,168,0,0,0,0,0,166,167,167,168,168
,多摩,2127,2129,2151,2157,2157,94,94,94,94,94,2033,2035,2057,2063,2063
,島しょ,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
,合計,2294,2297,2319,2326,2326,94,94,94,94,94,2200,2203,2225,2232,2232
,実施区市町村数（全62区市町村）,13,13,13,13,13,,,,,,,,,,
