年度,総数,総数_一般(冊),総数_児童(冊),中央図書館_総数(冊),中央図書館_一般(冊),中央図書館_児童(冊),白糸台図書館_総数(冊),白糸台図書館_一般(冊),白糸台図書館_児童(冊),西府図書館_総数(冊),西府図書館_一般(冊),西府図書館_児童(冊),武蔵台図書館_総数(冊),武蔵台図書館_一般(冊),武蔵台図書館_児童(冊),新町図書館_総数(冊),新町図書館_一般(冊),新町図書館_児童(冊),住吉図書館_総数(冊),住吉図書館_一般(冊),住吉図書館_児童(冊),是政図書館_総数(冊),是政図書館_一般(冊),是政図書館_児童(冊),紅葉丘図書館_総数(冊),紅葉丘図書館_一般(冊),紅葉丘図書館_児童(冊),押立図書館_総数(冊),押立図書館_一般(冊),押立図書館_児童(冊),四谷図書館_総数(冊),四谷図書館_一般(冊),四谷図書館_児童(冊),片町図書館_総数(冊),片町図書館_一般(冊),片町図書館_児童(冊),宮町図書館_総数(冊),宮町図書館_一般(冊),宮町図書館_児童(冊),生涯学習センター図書館_総数(冊),生涯学習センター図書館_一般(冊),生涯学習センター図書館_児童(冊),市政情報_総数(冊),市政情報_一般(冊),市政情報_児童(冊),移動図書館_総数(冊),移動図書館_一般(冊),移動図書館_児童(冊),中文セ(桜通り)図書館_総数(冊),中文セ(桜通り)図書館_一般(冊),中文セ(桜通り)図書館_児童(冊)
1962,10051,…,…,10051,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1963,18512,…,…,18512,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1964,18320,…,…,18320,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1965,20028,…,…,20028,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1966,27297,…,…,27297,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1967,91464,…,…,91464,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1968,189460,…,…,160851,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,28609,…,…,…,…,…
1969,254601,…,…,201521,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,53080,…,…,…,…,…
1970,272694,…,…,233026,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,39668,…,…,…,…,…
1971,416428,…,…,266210,…,…,88410,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,61808,…,…,…,…,…
1972,488927,…,…,272780,…,…,151065,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,65082,…,…,…,…,…
1973,644235,…,…,277138,…,…,110092,…,…,68173,…,…,85046,…,…,10747,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,93039,…,…,…,…,…
1974,895304,…,…,269229,…,…,119100,…,…,69692,…,…,89987,…,…,122751,…,…,106514,…,…,34785,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,83246,…,…,…,…,…
1975,916145,…,…,238842,…,…,101298,…,…,68790,…,…,88170,…,…,109944,…,…,109107,…,…,65433,…,…,62970,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,71591,…,…,…,…,…
