,,,,,,,(単位：トン）,,,,,,,,
品種,,定期航路,,,不定期航路,,,,,,,,,,
,,沖縄,,,合計,,,,,,,,,,
,,計,移出,移入,計,移出,移入,,,,,,,,
合計,,"489,263","435,904","53,359","1,154,449","721,697","432,752",,,,,,,,
農水産品,,-,-,-,"81,243","79,664","1,579",,,,,,,,
1,麦,-,-,-,"1,931","1,931",-,,,,,,,,
2,米,-,-,-,75,75,-,,,,,,,,
3,とうもろこし,-,-,-,805,805,-,,,,,,,,
4,豆類,-,-,-,"6,484","6,484",-,,,,,,,,
5,その他雑穀,-,-,-,65,65,-,,,,,,,,
6,野菜・果物,-,-,-,"36,119","35,902",217,,,,,,,,
7,綿花,-,-,-,150,150,-,,,,,,,,
8,その他農産品,-,-,-,"11,833","11,801",32,,,,,,,,
9,羊毛,-,-,-,22,22,-,,,,,,,,
10,その他畜産品,-,-,-,"11,923","11,923",-,,,,,,,,
11,水産品,-,-,-,"11,836","10,506","1,330",,,,,,,,
林産品,,-,-,-,"15,289","14,500",789,,,,,,,,
12,原木,-,-,-,-,-,-,,,,,,,,
13,製材,-,-,-,"14,793","14,399",394,,,,,,,,
14,樹脂類,-,-,-,451,60,391,,,,,,,,
15,木材チップ,-,-,-,-,-,-,,,,,,,,
16,その他林産品,-,-,-,30,26,4,,,,,,,,
17,薪炭,-,-,-,15,15,-,,,,,,,,
鉱産品,,-,-,-,"6,361","6,361",-,,,,,,,,
18,石炭,-,-,-,840,840,-,,,,,,,,
19,鉄鉱石,-,-,-,-,-,-,,,,,,,,
20,金属鉱,-,-,-,675,675,-,,,,,,,,
21,砂利・砂,-,-,-,75,75,-,,,,,,,,
22,石材,-,-,-,75,75,-,,,,,,,,
23,原油,-,-,-,30,30,-,,,,,,,,
24,りん鉱石,-,-,-,-,-,-,,,,,,,,
25,石灰石,-,-,-,-,-,-,,,,,,,,
26,原塩,-,-,-,60,60,-,,,,,,,,
27,非金属鉱物,-,-,-,"4,606","4,606",-,,,,,,,,
金属機械工業品,,"110,566","110,566",-,"224,055","71,801","152,254",,,,,,,,
28,鉄鋼,-,-,-,196,45,151,,,,,,,,
29,鋼材,-,-,-,"6,471",190,"6,281",,,,,,,,
30,非鉄金属,-,-,-,"8,978","2,672","6,306",,,,,,,,
31,金属製品,-,-,-,"22,199","10,395","11,804",,,,,,,,
32,鉄道車両,-,-,-,-,-,-,,,,,,,,
33,完成自動車,-,-,-,"1,694","1,280",414,,,,,,,,
34,その他輸送用車両,-,-,-,335,225,110,,,,,,,,
35,二輪自動車,-,-,-,"1,085",406,679,,,,,,,,
36,自動車部品,-,-,-,"54,880","6,911","47,969",,,,,,,,
37,その他輸送機械,-,-,-,"3,854","3,337",517,,,,,,,,
38,産業機械,-,-,-,"64,411","9,143","55,268",,,,,,,,
39,電気機械,-,-,-,"44,628","26,761","17,867",,,,,,,,
40,測量・光学・医療機械,-,-,-,"9,976","6,475","3,501",,,,,,,,
41,事務用機器,"110,566","110,566",-,568,568,-,,,,,,,,
42,その他機械,-,-,-,"4,780","3,393","1,387",,,,,,,,
化学工業品,,-,-,-,"59,730","34,982","24,748",,,,,,,,
43,陶磁器,-,-,-,923,506,417,,,,,,,,
44,セメント,-,-,-,-,-,-,,,,,,,,
45,ガラス類,-,-,-,406,75,331,,,,,,,,
46,窯業品,-,-,-,"4,038","1,888","2,150",,,,,,,,
47,重油,-,-,-,-,-,-,,,,,,,,
