設置場所,所在地,貯水量[t],設置年月,設置年月（西暦）
日進公園,墨田区亀沢3-24-3,50,昭和46年5月,1971年5月
なつめ公園,墨田区東向島6-40-2,50,昭和46年5月,1971年5月
墨田児童会館,墨田区墨田2-30-15,50,昭和46年10月,1971年10月
あずま百樹園,墨田区文花1-19-4,50,昭和47年3月,1972年3月
あじさい児童遊園,墨田区東墨田3-12-10,50,昭和47年12月,1972年12月
すみだボランティアセンター,墨田区東向島2-17-14,50,昭和48年3月,1973年3月
江東橋二丁目その他緑地,墨田区江東橋2-18,50,昭和48年3月,1973年3月
かつら児童遊園,墨田区墨田3-36-13,50,昭和48年4月,1973年4月
堤通公園,墨田区堤通1-8-1,100,昭和48年10月,1973年10月
錦糸堀公園,墨田区江東橋4-17-1,50,昭和49年3月,1974年3月
すみだ健康ハウス,墨田区東墨田1-2-6,50,昭和50年3月,1975年3月
文花公園,墨田区文花1-27-5,100,昭和50年4月,1975年4月
東向島児童館,墨田区東向島6-6-12,40,昭和50年6月,1975年6月
とちのき児童遊園,墨田区緑2-8-12,50,昭和50年12月,1975年12月
ひきふね保育園,墨田区八広1-1-18,50,昭和51年3月,1976年3月
立川第二児童遊園,墨田区立川3-15-6,40,昭和51年9月,1976年9月
押上第一児童遊園,墨田区押上3-48-1,40,昭和51年11月,1976年11月
京島西公園,墨田区京島1-22-3,50,昭和52年1月,1977年1月
東向島ふじ公園,墨田区東向島2-46-7,50,昭和52年2月,1977年2月
曳舟さくら公園,墨田区京島1-40-1,100,昭和52年12月,1977年12月
本四三ツ目児童遊園,墨田区本所4-1-4,40,昭和53年1月,1978年1月
請地児童遊園,墨田区向島4-12-11,20,昭和53年8月,1978年8月
八広中央公園,墨田区八広3-13-19,40,昭和53年8月,1978年8月
梅若保育園,墨田区墨田2-38-13,40,昭和54年3月,1979年3月
たちばな仲よし公園,墨田区立花5-19-2,100,昭和54年3月,1979年3月
東あずま公園南,墨田区立花2-32-12,100,昭和54年3月,1979年3月
東あずま公園北,墨田区立花2-32-12,100,昭和54年3月,1979年3月
千歳公園,墨田区千歳2-2-1,100,昭和54年3月,1979年3月
墨田二丁目児童遊園,墨田区墨田2-42-4,40,昭和54年12月,1979年12月
曳舟西ビューハイツ,墨田区京島1-39-1,40,昭和55年11月,1980年11月
曳舟東ビューハイツ,墨田区京島1-45-1,40,昭和55年11月,1980年11月
六軒児童遊園,墨田区立花3-18-12,40,昭和55年11月,1980年11月
寺島保育園,墨田区東向島1-23-10,40,昭和56年2月,1981年2月
舟原公園,墨田区八広2-43-16,100,昭和56年3月,1981年3月
亀沢第一児童遊園,墨田区亀沢2-13-7,40,昭和56年10月,1981年10月
都営立花四丁目団地,墨田区立花4-30-1,40,昭和56年12月,1981年12月
隅田第二児童遊園,墨田区墨田4-8-14,40,昭和57年1月,1982年1月
東駒形コミュニティ会館,墨田区東駒形4-14-1,40,昭和57年10月,1982年10月
墨田第三児童遊園,墨田区墨田2-17-6,40,昭和57年7月,1982年7月
ごあずま児童遊園,墨田区八広4-36-24,40,昭和57年10月,1982年10月
立花第一児童遊園,墨田区立花4-9-6,40,昭和58年1月,1983年1月
隅田東児童遊園,墨田区墨田4-52-12,40,昭和59年3月,1984年3月
押上第二児童遊園,墨田区押上3-57-3,40,昭和59年8月,1984年8月
八広六西児童遊園,墨田区八広6-13-1,40,昭和60年4月,1985年4月
墨田第六児童遊園,墨田区墨田2-20-15,40,昭和60年6月,1985年6月
みわさと公園,墨田区八広1-38-13,40,昭和60年9月,1985年9月
隅田東第二児童遊園,墨田区墨田4-34-20,40,昭和61年8月,1986年8月
八広あずま公園,墨田区八広4-19-14,40,昭和62年10月,1987年10月
露伴児童遊園,墨田区東向島1-7-11,100,昭和63年9月,1988年9月
小梅児童遊園,墨田区向島1-33-3,100,平成元年12月,1989年12月
さつき公園,墨田区東向島6-19-12,60,平成3年2月,1991年2月
きねがわ公園,墨田区東墨田2-25-8,100,平成3年12月,1991年12月
竪川親水公園,墨田区江東橋2-1先,80,平成5年4月,1993年4月
菊川駐輪場,墨田区菊川3-6-14,100,平成5年11月,1993年11月
みどりコミュニティセンター,墨田区緑3-7-3,100,平成7年6月,1995年6月
業平防災待機職員住宅,墨田区業平3-2-5,100,平成11年3月,1999年3月
すみだ清掃事務所,墨田区業平5-6-2,63,平成12年4月,2000年4月
八広保育園,墨田区八広3-7-5,40,平成26年7月,2014年7月
ﾗ施設名,所在地
緑小学校,墨田区緑2-12-12
外手小学校,墨田区本所2-1-16
二葉小学校,墨田区石原2-1-5
錦糸小学校,墨田区錦糸1-9-12
中和小学校,墨田区菊川1-18-10
言問小学校,墨田区向島5-40-14
小梅小学校,墨田区向島2-4-10
柳島小学校,墨田区横川5-2-30
業平小学校,墨田区業平2-4-8
両国小学校,墨田区両国4-26-6
横川小学校,墨田区東駒形4-18-4
菊川小学校,墨田区立川4-12-15
第三吾嬬小学校,墨田区八広2-36-3
第四吾嬬小学校,墨田区京島3-64-9
第一寺島小学校,墨田区東向島1-16-2
第二寺島小学校,墨田区東向島4-30-2
第三寺島小学校,墨田区東向島6-8-1
曳舟小学校,墨田区京島1-28-2
中川小学校,墨田区立花5-49-4
東吾嬬小学校,墨田区立花4-22-11
押上小学校,墨田区押上3-46-17
八広小学校,墨田区八広5-12-15
隅田小学校,墨田区墨田4-6-5
立花吾嬬の森小学校,墨田区立花1-18-6
梅若小学校,墨田区墨田2-25-1
旧隅田小学校,墨田区墨田5-49-5
墨田中学校,墨田区向島4-25-22
本所中学校,墨田区東駒形3-1-10
両国中学校,墨田区横綱1-8-1
竪川中学校,墨田区亀沢4-11-15
錦糸中学校,墨田区石原4-33-14
吾嬬第二中学校,墨田区八広4-4-4
寺島中学校,墨田区八広1-17-15
文花中学校,墨田区文花1-22-7
桜堤中学校,墨田区堤通2-19-1
吾嬬立花中学校,墨田区立花4-30-18
旧向島中学校,墨田区東向島4-18-9
旧鐘淵中学校,墨田区堤通2-11-1
旧吾嬬第一中学校,墨田区立花5-48-9
緑幼稚園,墨田区緑2-11-5
柳島幼稚園,墨田区横川5-2-30
菊川幼稚園,墨田区立川4-12-15
第三寺島幼稚園,墨田区東向島6-8-1
曳舟幼稚園,墨田区京島1-28-2
八広幼稚園,墨田区八広5-12-15
立花幼稚園,墨田区立花1-25-9
墨田児童会館,墨田区墨田2-30-15
八広児童館,墨田区八広2-38-14
江東橋児童館,墨田区江東橋1-15-4
東向島児童館,墨田区東向島6-6-12
立花児童館,墨田区立花1-27-9
立川児童館,墨田区立川1-5-2
文花児童館,墨田区文花1-32-11
中川児童館,墨田区立花5-18-9
外手児童館,墨田区本所2-6-9
八広はなみずき児童館,墨田区八広4-27-8
さくら橋コミュニティセンター,墨田区向島2-3-8
江東橋保育園分園,墨田区亀沢3-12-5
横川橋保育園,墨田区大平1-27-13
中川保育園,墨田区東墨田2-1-15
花園保育園,墨田区東向島3-16-2
福神橋保育園,墨田区文花1-30-21-101
文花保育園,墨田区文花1-24-5
たちばな保育園,墨田区立花3-21-16
すみだ保育園,墨田区墨田4-22-4-101
八広保育園,墨田区八広3-7-5
東駒形保育園,墨田区東駒形1-6-8
亀沢保育園,墨田区亀沢1-27-5
東あずま保育園,墨田区立花1-27-6-101
おむらい保育園,墨田区文花1-32-1-103
大平保育園,墨田区大平1-13-10
鐘ケ淵北保育園,墨田区堤通2-8-15-109
梅若保育園,墨田区墨田2-38-13
立川保育園,墨田区立川1-5-2
中川南保育園,墨田区立花6-8-2-106
長浦保育園,墨田区八広5-10-1-105
寺島保育園,墨田区東向島1-23-10
水神保育園,墨田区堤通2-6-9-103
しらひげ保育園,墨田区堤通2-5-5-101
押上保育園,墨田区押上2-10-17
あおやぎ保育園,墨田区東向島4-37-17
ひきふね保育園,墨田区八広1-1-18
横川さくら保育園,墨田区横川5-9-1
横川さくら保育園分園,墨田区立花1-23-5-206
いきいきプラザ,墨田区文花1-32-2
墨田区子育て支援総合センター,墨田区京島1-35-9-103
東駒形コミュニティ会館,墨田区東駒形4-14-1
梅若橋コミュニティ会館,墨田区堤通2-9-1
横川コミュニティ会館,墨田区横川5-9-1
すみだふれあいセンター,墨田区緑4-35-6
すみだ厚生会館,墨田区向島1-22-16
すみだ障害者就労支援総合センター,墨田区緑4-25-4
向島ことぶき作業所,墨田区東向島1-17-11
墨田福祉作業所,墨田区八広1-16-22
亀沢のぞみの家,墨田区亀沢4-18-11
ステップ学級,墨田区吾妻橋2-18-12
両国子育てひろば,墨田区横綱1-2-13
文花子育てひろば,墨田区文花1-20-3
-考YH削f|)ｨ|4W*lﾕ/�(�*ｴ竣Mﾁ姉ｫ�k煕ﾌ�ﾊ咽 ｹ%ｶﾝ:�$$-BTD�士ｭ基��監�､仕8�"u!`Xﾛv秡nｯﾑ
