No,名称,住所,緯度,経度
1,森鴎外記念館,東京都文京区千駄木1丁目23番地4号,35.724927,139.760600
2,不忍通りふれあい館,東京都文京区根津2丁目20番地7号,35.719172,139.764146
3,文京ふるさと歴史館,東京都文京区本郷4丁目9番地29号,35.708014,139.756669
4,文京シビックセンターアトリウム,東京都文京区春日1丁目16番地21号　地下2階から3階まで,35.707932,139.752085
5,文京シビックセンター25階展望ラウンジ,東京都文京区春日1丁目16番地21号　25階,35.708132,139.752321
6,松聲閣,東京都文京区目白台1丁目1番地22号,35.713100,139.721771
7,Ｂ－ぐる　,車内で利用できます。,,
8,江戸川公園,東京都文京区関口2丁目-1番地,35.711015,139.730893
9,小石川運動場,東京都文京区後楽1丁目‐8番地‐23,35.705146,139.746479
10,目白台運動公園,東京都文京区目白台1丁目20番地,35.715366,139.721551
11,教育の森公園,東京都文京区大塚3丁目29番地,35.720479,139.735401
12,江戸川橋体育館,東京都文京区小日向1丁目7番地4号,35.710603,139.735485
13,教育センター,東京都文京区湯島4丁目7番地10号,35.708668,139.765461
14,文京総合体育館,東京都文京区本郷7丁目1番地2号,35.708137,139.763335
15,文京スポーツセンター,東京都文京区大塚3丁目29番地2号,35.720540,139.736595
16,男女平等センター,東京都文京区本郷4丁目8番地3号,35.708605,139.757683
17,区民センター,東京都文京区本郷4丁目15番地14号,35.709057,139.754146
18,六義公園運動場,東京都文京区本駒込6丁目16番地10号,35.731650,139.746452
19,礫川地域活動センター,東京都文京区小石川2丁目18番地18号,35.712128,139.750306
20,大原地域活動センター,東京都文京区千石1丁目4番地3号,35.724675,139.743343
21,大塚地域活動センター,東京都文京区大塚1丁目5番地17号,35.718790,139.734637
22,音羽地域活動センター,東京都文京区音羽1丁目22番地14号,35.714074,139.729812
23,湯島地域活動センター,東京都文京区本郷7丁目1番地2号,35.708311,139.763317
24,向丘地域活動センター,東京都文京区向丘1丁目20番地8号,35.717508,139.757945
25,根津地域活動センター,東京都文京区根津2丁目20番地7号,35.719417,139.764144
26,汐見地域活動センター,東京都文京区千駄木3丁目2番地6号,35.725755,139.761470
27,駒込地域活動センター,東京都文京区本駒込3丁目22番地4号,35.728779,139.752266
28,勤労福祉会館,東京都文京区本駒込4丁目35番地15号,35.734396,139.755422
29,文京総合福祉センター,東京都文京区小日向2丁目16番地15号,35.710580,139.734474
30,保健サービスセンター本郷支所,東京都文京区千駄木5丁目20番地18号,35.727059,139.760460
31,福祉センター湯島,東京都文京区本郷3丁目10番地18号,35.704254,139.763506
32,福祉センター江戸川橋,東京都文京区小日向2丁目16番地15号,35.710580,139.734474
33,髪ファッション四季　音羽店,東京都文京区音羽2丁目2番地2号　アベニュー音羽107号,35.718481,139.728018
34,ごはん茶々,東京都文京区音羽1丁目25番地12号　中銀第2音羽マンション1階,35.712660,139.730451
35,高崎屋商店,東京都文京区向丘1丁目1番地17号,35.716243,139.758335
36,大坂や茶店,東京都文京区向丘1丁目9番地22号,35.722349,139.752954
