1,東京都生計分析調査　令和 5年 6月,,,,,,,,,,,,,,,,,,,
2,,,,第１１表　生計支出７分位階層別１世帯当たり１か月間の公共的料金支出　―　全　世　帯　―,,,,,,,,,,,,,,,,
3,,,,項目（0：世帯数等　1：公共料金等　2：準公共料金等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
4,項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
5,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,0,0,調査世帯数,617,-,-,87,-,88,-,88,-,91,-,87,-,86,-,90,-
7,0,0,世帯人員,2.96,-,-,2.59,-,3.05,-,2.83,-,2.88,-,3.18,-,3.04,-,3.15,-
8,0,0,有業人員,1.40,-,-,1.13,-,1.45,-,1.27,-,1.42,-,1.64,-,1.27,-,1.63,-
9,0,0,世帯主平均年齢,59.6,-,-,63.4,-,57.4,-,65.4,-,59.0,-,56.2,-,57.5,-,58.5,-
10,0,0,消費支出,315648,-,9.7,101273,-,157681,-,206901,-,254931,-,314063,-,402229,-,769151,-
11,0,0,公共的料金,82009,26.0,4.7,24480,24.2,41639,26.4,55623,26.9,65053,25.5,78915,25.1,100299,24.9,207143,26.9
12,1,0,公共料金等,54928,17.4,-0.6,20533,20.3,33924,21.5,44880,21.7,46274,18.2,55201,17.6,67180,16.7,115977,15.1
13,1,1,米,1568,0.5,-2.6,1096,1.1,1412,0.9,1378,0.7,1304,0.5,1838,0.6,1725,0.4,2220,0.3
14,1,1,食塩,40,0.0,-31.0,23,0.0,40,0.0,38,0.0,27,0.0,55,0.0,39,0.0,58,0.0
15,1,1,学校給食,593,0.2,-46.8,-,-,268,0.2,202,0.1,817,0.3,738,0.2,1278,0.3,839,0.1
16,1,1,公営家賃,1247,0.4,-57.9,244,0.2,1062,0.7,2253,1.1,1022,0.4,3105,1.0,1040,0.3,-,-
17,1,1,電気代,8775,2.8,1.0,5446,5.4,7602,4.8,8323,4.0,9057,3.6,9142,2.9,10051,2.5,11754,1.5
18,1,1,都市ガス,5116,1.6,-3.4,2746,2.7,4338,2.8,5433,2.6,5661,2.2,5541,1.8,5795,1.4,6264,0.8
19,1,1,上下水道料,5057,1.6,-13.1,2892,2.9,4282,2.7,5312,2.6,3887,1.5,5271,1.7,5462,1.4,8259,1.1
20,1,1,医科診療代,3929,1.2,4.9,1036,1.0,1949,1.2,4606,2.2,3266,1.3,4218,1.3,4412,1.1,7974,1.0
21,1,1,歯科診療代,1646,0.5,-40.5,584,0.6,794,0.5,1333,0.6,1374,0.5,1456,0.5,1933,0.5,4033,0.5
22,1,1,出産入院料,-,-,-100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,1,1,他の入院料,3160,1.0,329.3,-,-,721,0.5,340,0.2,-,-,188,0.1,5462,1.4,15338,2.0
24,1,1,鉄道運賃,3082,1.0,24.6,997,1.0,533,0.3,1460,0.7,1773,0.7,4590,1.5,3843,1.0,8361,1.1
25,1,1,鉄道通学定期代,56,0.0,-71.4,-,-,-,-,-,-,36,0.0,297,0.1,-,-,61,0.0
26,1,1,鉄道通勤定期代,830,0.3,-38.3,-,-,834,0.5,468,0.2,487,0.2,262,0.1,1575,0.4,2164,0.3
27,1,1,バス代,334,0.1,59.0,40,0.0,18,0.0,172,0.1,292,0.1,256,0.1,339,0.1,1214,0.2
28,1,1,バス通学定期代,13,0.0,-60.6,-,-,-,-,-,-,-,-,59,0.0,34,0.0,-,-
29,1,1,バス通勤定期代,13,0.0,-43.5,-,-,-,-,-,-,47,0.0,-,-,47,0.0,-,-
30,1,1,タクシー代,617,0.2,-22.2,293,0.3,197,0.1,432,0.2,725,0.3,278,0.1,734,0.2,1651,0.2
31,1,1,航空運賃,2962,0.9,32.5,-,-,-,-,-,-,-,-,1272,0.4,2053,0.5,17346,2.3
32,1,1,郵便料,103,0.0,-34.4,28,0.0,127,0.1,180,0.1,94,0.0,92,0.0,91,0.0,106,0.0
33,1,1,固定電話通信料,1224,0.4,-7.7,698,0.7,1116,0.7,1095,0.5,1614,0.6,1121,0.4,1219,0.3,1694,0.2
34,1,1,携帯電話通信料,8726,2.8,5.0,2413,2.4,5767,3.7,7690,3.7,8264,3.2,10129,3.2,12354,3.1,14380,1.9
35,1,1,ＮＨＫ放送受信料,1478,0.5,-2.8,514,0.5,1125,0.7,1657,0.8,1801,0.7,945,0.3,1760,0.4,2528,0.3
36,1,1,ケーブルテレビ放送受信料,1199,0.4,12.0,540,0.5,793,0.5,1167,0.6,918,0.4,1514,0.5,1321,0.3,2131,0.3
37,1,1,他の放送受信料,144,0.0,-10.0,106,0.1,192,0.1,22,0.0,97,0.0,214,0.1,144,0.0,234,0.0
38,1,1,国公立小学校,444,0.1,-30.5,174,0.2,183,0.1,88,0.0,1072,0.4,305,0.1,946,0.2,335,0.0
39,1,1,国公立中学校,896,0.3,146.8,-,-,-,-,19,0.0,643,0.3,902,0.3,807,0.2,3888,0.5
40,1,1,国公立高校,473,0.1,-15.7,-,-,-,-,304,0.1,422,0.2,-,-,847,0.2,1725,0.2
41,1,1,国公立大学,-,-,-100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,1,1,たばこ,1204,0.4,18.5,663,0.7,571,0.4,908,0.4,1573,0.6,1415,0.5,1867,0.5,1422,0.2
43,2,0,準公共料金等,27081,8.6,17.6,3947,3.9,7716,4.9,10742,5.2,18778,7.4,23714,7.6,33120,8.2,91167,11.9
44,2,1,牛乳,1393,0.4,4.7,930,0.9,1141,0.7,1443,0.7,1083,0.4,1618,0.5,1836,0.5,1692,0.2
45,2,1,灯油,24,0.0,-27.3,-,-,23,0.0,21,0.0,56,0.0,-,-,-,-,65,0.0
46,2,1,プロパンガス,350,0.1,-26.3,307,0.3,273,0.2,355,0.2,470,0.2,189,0.1,312,0.1,543,0.1
47,2,1,理髪料,537,0.2,27.6,151,0.1,197,0.1,628,0.3,499,0.2,599,0.2,551,0.1,1125,0.1
48,2,1,パーマネント代,421,0.1,55.4,59,0.1,277,0.2,493,0.2,568,0.2,836,0.3,443,0.1,267,0.0
49,2,1,洗濯代,714,0.2,26.1,61,0.1,321,0.2,443,0.2,710,0.3,1181,0.4,751,0.2,1524,0.2
50,2,1,新聞,2044,0.6,-2.2,936,0.9,1477,0.9,2427,1.2,2231,0.9,2126,0.7,2248,0.6,2843,0.4
51,2,1,私立小学校,499,0.2,556.6,-,-,-,-,-,-,-,-,-,-,335,0.1,3144,0.4
52,2,1,私立中学校,562,0.2,-16.1,-,-,-,-,-,-,-,-,190,0.1,76,0.0,3657,0.5
53,2,1,私立高校,3043,1.0,72.9,-,-,-,-,-,-,-,-,-,-,4118,1.0,17112,2.2
54,2,1,私立大学,4312,1.4,30.4,-,-,-,-,-,-,-,-,-,-,745,0.2,29335,3.8
55,2,1,幼児教育費用,960,0.3,36.4,889,0.9,1172,0.7,106,0.1,666,0.3,1921,0.6,1460,0.4,511,0.1
56,2,1,民営家賃,11829,3.7,12.3,614,0.6,2676,1.7,4737,2.3,12496,4.9,14804,4.7,19177,4.8,28150,3.7
57,2,1,地代,396,0.1,-50.1,-,-,158,0.1,89,0.0,-,-,250,0.1,1068,0.3,1198,0.2
54,2,1,私立大9,"2","6","1","10","3","他の飲料",3017,0.9,2461,0.8,3389,1.0,3119,1.3,7167,2.3,3117,1.4,3256,1.0
50,"2","5","1","11","0","酒類",3705,1.2,4149,1.3,3879,1.1,1175,0.5,1586,0.5,2747,1.2,4135,1.2
51,"2","5","1","12","0","外食",18885,5.9,17771,5.6,21582,6.3,7666,3.1,9177,2.9,16498,7.3,23691,6.9
52,"2","6","1","12","1","一般外食",18550,5.8,17771,5.6,20953,6.1,7593,3.1,8532,2.7,16271,7.2,23104,6.8
53,"2","6","1","12","2","学校給食",335,0.1,-,-,629,0.2,73,0.0,645,0.2,226,0.1,587,0.2
54,"2","4","2","0","0","住居",19561,6.1,25772,8.1,16108,4.7,17561,7.1,20196,6.5,14794,6.5,22356,6.5
55,"2","5","2","1","0","家賃地代",12643,4.0,16180,5.1,11691,3.4,8895,3.6,19691,6.3,5796,2.5,17546,5.1
56,"2","5","2","2","0","設備修繕・維持",6918,2.2,9592,3.0,4418,1.3,8666,3.5,505,0.2,8998,4.0,4810,1.4
57,"2","6","2","2","1","設備材料",4033,1.3,6876,2.2,2741,0.8,2982,1.2,505,0.2,167,0.1,2519,0.7
58,"2","6","2","2","2","工事その他のサービス",2885,0.9,2717,0.9,1677,0.5,5684,2.3,-,-,8831,3.9,2291,0.7
59,"2","4","3","0","0","光熱・水道",19389,6.1,17084,5.3,20923,6.1,19591,7.9,17347,5.5,20034,8.8,18717,5.5
60,"2","5","3","1","0","電気代",9893,3.1,8757,2.7,10251,3.0,11122,4.5,10162,3.3,11743,5.2,9788,2.9
61,"2","5","3","2","0","ガス代",4206,1.3,3856,1.2,4621,1.4,3579,1.4,3902,1.2,3726,1.6,4114,1.2
62,"2","5","3","3","0","他の光熱",357,0.1,461,0.1,224,0.1,394,0.2,16,0.0,684,0.3,208,0.1
63,"2","5","3","4","0","上下水道料",4933,1.5,4010,1.3,5827,1.7,4496,1.8,3267,1.0,3882,1.7,4607,1.3
64,"2","4","4","0","0","家具・家事用品",15219,4.8,15579,4.9,16955,5.0,9146,3.7,17760,5.7,7870,3.5,17043,5.0
65,"2","5","4","1","0","家庭用耐久財",4648,1.5,2803,0.9,7055,2.1,547,0.2,1353,0.4,1396,0.6,7582,2.2
66,"2","6","4","1","1","家事用耐久財",1175,0.4,1411,0.4,1165,0.3,294,0.1,499,0.2,912,0.4,1944,0.6
67,"2","6","4","1","2","冷暖房用器具",2641,0.8,1233,0.4,4359,1.3,226,0.1,854,0.3,294,0.1,4961,1.4
68,"2","6","4","1","3","一般家具",832,0.3,159,0.0,1530,0.4,26,0.0,-,-,189,0.1,677,0.2
69,"2","5","4","2","0","室内装備・装飾品",1341,0.4,2182,0.7,1060,0.3,173,0.1,299,0.1,285,0.1,854,0.2
70,"2","5","4","3","0","寝具類",2141,0.7,4438,1.4,960,0.3,145,0.1,427,0.1,827,0.4,1370,0.4
