設置,施設名,郵便番号,所在地,経度,緯度,座標系,電話番号
社福法人,千代田区社会福祉協議会,102-0074,千代田区九段南１-６-１０　かがやきプラザ４階,139.75159,35.69438,JGD2011,03-3265-1901
社福法人,全国社会福祉協議会,100-8980,千代田区霞が関３-３-２　新霞が関ビル,139.74648,35.67212,JGD2011,03-3581-7820
社福法人,中央区社会福祉協議会,104-0032,中央区八丁堀４-１-５,139.77295,35.67435,JGD2011,03-3206-0506
社福法人,港区社会福祉協議会,106-0032,港区六本木５-１６-４５　港区麻布地区総合支所２階,139.73579,35.66081,JGD2011,03-6230-0280
社福法人,新宿区社会福祉協議会,169-0075,新宿区高田馬場１-１７-２０,139.70703,35.71146,JGD2011,03-5273-2941
社福法人,東京都社会福祉協議会,162-8953,新宿区神楽河岸１-１　セントラルプラザ５階,139.7436,35.70101,JGD2011,03-3268-7171
社福法人,文京区社会福祉協議会,113-0033,文京区本郷４-１５-１４　文京区民センター４階,139.75456,35.70855,JGD2011,03-3812-3040
社福法人,台東区社会福祉協議会,110-0004,台東区下谷１-２-１１,139.78169,35.71782,JGD2011,03-5828-7545
社福法人,墨田区社会福祉協議会,131-0032,墨田区東向島２-１７-１４　すみだボランティアセンター内,139.81561,35.71862,JGD2011,03-3614-3900
社福法人,江東区社会福祉協議会,135-0016,江東区東陽６-２-１７　高齢者総合福祉センター２階,139.81239,35.67411,JGD2011,03-3647-1895
社福法人,品川区社会福祉協議会,140-0014,品川区大井１-１４-１　大井１丁目共同ビル２階,139.73161,35.60756,JGD2011,03-5718-7171
社福法人,目黒区社会福祉協議会,153-0051,目黒区上目黒２-１９-１５　目黒総合庁舎別館１、３階,139.69838,35.64108,JGD2011,03-3719-8909
社福法人,大田区社会福祉協議会,144-0051,大田区西蒲田７-４９-２　大田区社会福祉センター内,139.71275,35.56249,JGD2011,03-3736-2021
社福法人,世田谷区社会福祉協議会,157-0066,世田谷区成城６-３-１０　成城６丁目事務所棟４階,139.60098,35.64079,JGD2011,03-5429-2200
社福法人,渋谷区社会福祉協議会,150-8010,渋谷区宇田川町１-１　渋谷区役所内,139.69789,35.66415,JGD2011,03-5457-2757
社福法人,中野区社会福祉協議会,164-0001,中野区中野５-６８-７　スマイルなかの４階,139.66521,35.70926,JGD2011,03-5380-0751
社福法人,杉並区社会福祉協議会,167-0032,杉並区天沼３-１９-１６　ウェルファーム杉並２、４階,139.62056,35.71005,JGD2011,03-5347-1010
社福法人,豊島区民社会福祉協議会,170-0013,豊島区東池袋１-３９-２　区役所東池袋分庁舎３、４階,139.71433,35.73244,JGD2011,03-3981-2930
社福法人,北区社会福祉協議会,114-0021,北区岸町１-６-１７,139.735,35.75477,JGD2011,03-3906-2352
社福法人,荒川区社会福祉協議会,116-0003,荒川区南千住１-１３-２０,139.79115,35.73191,JGD2011,03-3802-2794
社福法人,板橋区社会福祉協議会,173-0004,板橋区板橋２-６５-６　板橋区立情報処理センター,139.7088,35.75013,JGD2011,03-3964-0235
社福法人,練馬区社会福祉協議会,176-0012,練馬区豊玉北５-１４-６　新練馬ビル５階,139.65532,35.73573,JGD2011,03-3992-5600
社福法人,足立区社会福祉協議会,120-0011,足立区中央本町１-１７-１　足立区役所内,139.80502,35.77512,JGD2011,03-3880-5740
社福法人,葛飾区社会福祉協議会,124-0006,葛飾区堀切３-３４-１　地域福祉・障害者センター３階,139.83444,35.74439,JGD2011,03-5698-2411
社福法人,江戸川区社会福祉協議会,132-0031,江戸川区松島１-３８-１　グリーンパレス内,139.86636,35.70606,JGD2011,03-5662-5557
社福法人,八王子市社会福祉協議会,192-8501,八王子市元本郷町３-２４-１　八王子市役所内,139.31616,35.6665,JGD2011,042-620-7338
社福法人,立川市社会福祉協議会,190-0013,立川市富士見町２-３６-４７　立川市総合福祉センター内,139.40184,35.70138,JGD2011,042-529-8300
社福法人,武蔵野市民社会福祉協議会,180-0001,武蔵野市吉祥寺北町１-９-１　１階,139.57874,35.70857,JGD2011,0422-23-0701
社福法人,三鷹市社会福祉協議会,181-0004,三鷹市新川６-３７-１　元気創造プラザ３階福祉センター内,139.56218,35.68187,JGD2011,0422-46-1108
社福法人,青梅市社会福祉協議会,198-0042,青梅市東青梅１-１７７-３　青梅市福祉センター２階,139.27274,35.78766,JGD2011,0428-22-1233
