"観察項目／観察部位","","DPFなし／1群a)／10b)","DPFなし／2群／10","DPFなし／3群／10","DPFなし／4群／10","DPFあり／1群／10","DPFあり／2群／10","DPFあり／3群／10","DPFあり／4群／10"
"気道系：鼻腔～細気管支／粘膜細胞浸潤（好酸球）／鼻腔1(呼吸上皮)","-","10","10","10","10","10","10","10","10"
"気道系：鼻腔～細気管支／粘膜細胞浸潤（好酸球）／鼻腔2(嗅上皮)","-","10","10","10","10","10","10","10","10"
"気道系：鼻腔～細気管支／粘膜細胞浸潤（好酸球）／気管1～3","-","10","10","10","10","10","10","10","10"
"気道系：鼻腔～細気管支／粘膜細胞浸潤（好酸球）／細気管支1～2","-","10","10","10","10","10","10","10","10"
"気道系：鼻腔～細気管支／杯細胞の増加／鼻腔2(呼吸上皮)","-","10","10","10","10","10","10","10","10"
"気道系：鼻腔～細気管支／杯細胞の増加／気管1～3（気管支）","-","10","10","10","10","10","10","10","10"
"気道系：鼻腔～細気管支／杯細胞の増加／細気管支1～2","-","10","10","10","10","10","10","10","10"
"肺胞領域／炎症性病変／(単発性)／鼻腔[大食細胞/泡沫細胞集簇／炎症細胞の浸潤／肺胞上皮細胞の肥大,軽度増生／肺胞壁 軽度肥厚]：近位部","-","1","4","4","3","7","6","5","4"
"肺胞領域／炎症性病変／(単発性)／鼻腔[大食細胞/泡沫細胞集簇／炎症細胞の浸潤／肺胞上皮細胞の肥大,軽度増生／肺胞壁 軽度肥厚]：近位部","+","6","4","4","6","3","2","5","6"
"肺胞領域／炎症性病変／(単発性)／鼻腔[大食細胞/泡沫細胞集簇／炎症細胞の浸潤／肺胞上皮細胞の肥大,軽度増生／肺胞壁 軽度肥厚]：近位部","++","3","2","2","1","0","2","0","0"
"肺胞領域／炎症性病変／(単発性)／鼻腔[大食細胞/泡沫細胞集簇／炎症細胞の浸潤／肺胞上皮細胞の肥大,軽度増生／肺胞壁 軽度肥厚]：遠位部（胸膜下）","-","9","8","8","7","8","10","10","9"
"肺胞領域／炎症性病変／(単発性)／鼻腔[大食細胞/泡沫細胞集簇／炎症細胞の浸潤／肺胞上皮細胞の肥大,軽度増生／肺胞壁 軽度肥厚]：遠位部（胸膜下）","+","1","2","1","1","0","0","0","1"
"肺胞領域／炎症性病変／(単発性)／鼻腔[大食細胞/泡沫細胞集簇／炎症細胞の浸潤／肺胞上皮細胞の肥大,軽度増生／肺胞壁 軽度肥厚]：遠位部（胸膜下）","++","0","0","1","2","2","0","0","0"
"血管周囲 好酸球浸潤","-","10","10","0","0","10","10","0","0"
"血管周囲 好酸球浸潤","±","0","0","3","4","0","0","5","8"
"血管周囲 好酸球浸潤","+","0","0","7","6","0","0","5","2"
"胸膜下 リンパ球集簇","-","4","5","3","4","4","1","1","4"
"胸膜下 リンパ球集簇","+","6","5","7","6","6","9","9","6"
"肺内の黒色粒子の沈着／気管周囲結合組織/リンパ組織","-","10","0","10","0","10","0","10","0"
"肺内の黒色粒子の沈着／気管周囲結合組織/リンパ組織","+","0","10","0","10","0","10","0","10"
