"変数名","オッズ比","95%信頼区間／下限","95%信頼区間／上限","99%信頼区間／下限","99%信頼区間／上限","p値"
"1)年齢(歳)","1.027","1.022","1.032","1.021","1.033","0"
"2)居住年数（年）","1.008","1.005","1.011","1.004","1.012","0"
"3)アレルギ－検査結果","","","","","","0"
"3)アレルギ－検査結果／陰性","1","","","","",""
"3)アレルギ－検査結果／陽性","9.779","9.042","10.576","8.822","10.84",""
"4)距離区分","","","","","","0.08186"
"4)距離区分／100ｍ以上","1","","","","",""
"4)距離区分／50ｍ～100ｍ未満","1.141","1","1.301","0.96","1.356",""
"4)距離区分／50ｍ未満","0.95","0.843","1.071","0.812","1.112",""
"5)住宅構造分類","","","","","","0"
"5)住宅構造分類／木造","1","","","","",""
"5)住宅構造分類／鉄筋","1.369","1.263","1.483","1.232","1.521",""
"6)床にカーペット／じゅうたん","","","","","","0"
"6)床にカーペット／じゅうたん／なし","1","","","","",""
"6)床にカーペット／じゅうたん／あり","0.511","0.473","0.551","0.462","0.565",""
"7)居間／寝室の床にかび","","","","","","0.00865"
"7)居間／寝室の床にかび／なし","1","","","","",""
"7)居間／寝室の床にかび／あり","1.158","1.038","1.292","1.003","1.337",""
"8)暖房形態分類","","","","","","0.00312"
"8)暖房形態分類／クリーン","1","","","","",""
"8)暖房形態分類／ダーティ","1.126","1.041","1.218","1.015","1.248",""
"9)調理熱源分類","","","","","","0.96937"
"9)調理熱源分類／電気","1","","","","",""
"9)調理熱源分類／ガス","0.997","0.851","1.168","0.809","1.228",""
"10)室内ペット飼育","","","","","","0.40499"
"10)室内ペット飼育／なし","1","","","","",""
"10)室内ペット飼育／あり","1.036","0.953","1.125","0.929","1.155",""
"11)粉じん職場の経験","","","","","","0"
"11)粉じん職場の経験／なし","1","","","","",""
"11)粉じん職場の経験／あり","1.832","1.517","2.212","1.429","2.348",""
"12)家での受動喫煙","","","","","","0"
"12)家での受動喫煙／なし","1","","","","",""
"12)家での受動喫煙／あり","0.704","0.642","0.772","0.623","0.795",""
"13)職場での受動喫煙","","","","","","0"
"13)職場での受動喫煙／なし","1","","","","",""
"13)職場での受動喫煙／過去にあり","1.821","1.669","1.987","1.624","2.042",""
"13)職場での受動喫煙／ある","1.342","1.213","1.484","1.175","1.532",""
"14)Brinkman Index","","","","","","0.00906"
"14)Brinkman Index／0","1","","","","",""
"14)Brinkman Index／1～400","1.359","1.138","1.623","1.076","1.717",""
"14)Brinkman Index／401～800","1.546","1.138","2.099","1.034","2.311",""
"14)Brinkman Index／801以上","1.864","1.222","2.843","1.07","3.247",""
