"二次保健医療圏","全体(床)","全体／高度急性期(床)","全体／急性期(床)","全体／回復期(床)","全体／慢性期(床)","全体／休棟等(床)"
"区中央部／千代田区、中央区、港区、文京区、台東区","12677","8298","3322","434","466","157"
"区南部／品川区、大田区","8190","2065","4006","729","1352","38"
"区西南部／目黒区、世田谷区、渋谷区","10015","1194","6152","1052","1537","80"
"区西部／新宿区、中野区、杉並区","10053","3361","4431","821","1420","20"
"区西北部／豊島区、北区、板橋区、練馬区","13731","2753","6226","1507","3193","52"
"区東北部／荒川区、足立区、葛飾区","9541","912","4808","1221","2568","32"
"区東部／墨田区、江東区、江戸川区","8089","1573","4477","855","1107","77"
"西多摩／青梅市、福生市、羽村市、あきる野市、瑞穂町、日の出町、檜原村、奥多摩町","4072","184","1435","278","2172","3"
"南多摩／八王子市、町田市、日野市、多摩市、稲城市","10514","1525","3478","725","4750","36"
"北多摩西部／立川市、昭島市、国分寺市、国立市、東大和市、武蔵村山市","4555","1435","1395","592","1133","0"
"北多摩南部／武蔵野市、三鷹市、府中市、調布市、小金井市、狛江市","7676","3040","2142","754","1553","187"
"北多摩北部／小平市、東村山市、清瀬市、東久留米市、西東京市","5772","752","2338","531","2151","0"
"島しょ／大島町、利島村、新島村、神津島村、三宅村、御蔵島村、八丈町、青ヶ島村、小笠原村","114","0","114","0","0","0"
"合計（東京都全体）","104999","27092","44324","9499","23402","682"
