"検査項目","陽性基準","対象疾病"
"フェニルアラニン(Phe)","181.8μmol/l以上","フェニルケトン尿症(PKU)／高フェニルアラニン血症／BH4欠乏症／新生児一過性高フェニルアラニン血症"
"ロイシン(Leu)","267μmol/l以上","メープルシロップ尿症(MSUD)／新生児一過性高ロイシン血症"
"メチオニン(Met)","80.0μmol/l以上","ホモシスチン尿症(HCU)／高メチオニン血症／新生児一過性高メチオニン血症"
"シトルリン(Cit)","100μmol/l以上","シトルリン血症1型(Cit1)／アルギニノコハク酸尿症(ASA)"
"ﾌﾟﾛﾋﾟｵﾆﾙｶﾙﾆﾁﾝ(C3)／ﾌﾟﾛﾋﾟｵﾆﾙｶﾙﾆﾁﾝ/ｱｾﾁﾙｶﾙﾆﾁﾝ(C3/C2)","3.6nmol/ml以上／0.25以上","メチルマロン酸血症(MMA)／プロピオン酸血症(PA)"
"ｲｿﾊﾞﾚﾘﾙｶﾙﾆﾁﾝ(C5)","1.0nmol/ml以上","イソ吉草酸血症(IVA)"
"ｸﾞﾙﾀﾘﾙｶﾙﾆﾁﾝ(C5-DC)","0.25nmol/ml以上","グルタル酸尿症1型(GA1)"
"3-ﾋﾄﾞﾛｷｼｲｿﾊﾞﾚﾘﾙｶﾙﾆﾁﾝ(C5OH)","1.0nmol/ml以上","メチルクロトニルグリシン尿症(MCC)／ヒドロキシメチルグルタル酸血症(HMG)／複合カルボキシラーゼ欠損症(MCD)"
"ｵｸﾀﾉｲﾙｶﾙﾆﾁﾝ(C8)／ｵｸﾀﾉｲﾙｶﾙﾆﾁﾝ/ﾃﾞｶﾉｲﾙｶﾙﾆﾁﾝ(C8/C10)","0.3nmol/ml以上／1.0以上","中鎖アシルCoA脱水素酵素欠損症(MCAD欠損症)"
"ﾐﾘｽﾄﾚｲﾙｶﾙﾆﾁﾝ(C14:1)／ﾐﾘｽﾄﾚｲﾙｶﾙﾆﾁﾝ/ｱｾﾁﾙｶﾙﾆﾁﾝ(C14:1/C2)","0.4nmol/ml以上／0.013以上","極長鎖アシルCoA脱水素酵素欠損症(VLCAD欠損症)"
"3-ﾋﾄﾞﾛｷｼﾊﾟﾙﾐﾄｲﾙｶﾙﾆﾁﾝ(C16-OH)／3-ﾋﾄﾞﾛｷｼｵﾚｲﾙｶﾙﾆﾁﾝ(C18:1-OH)","0.05nmol/ml以上／0.05nmol/ml以上","三頭酵素/長鎖3-ヒドロキシアシルCoA脱水素酵素欠損症(TFP/LCHAD欠損症)"
"遊離ｶﾙﾆﾁﾝ/(ﾊﾟﾙﾐﾄｲﾙｶﾙﾆﾁﾝ+ｽﾃｱﾛｲﾙｶﾙﾆﾁﾝ)(C0/(C16+C18))","100以上","カルニチンパルミトイルトランスフェラーゼ-1欠損症(CPT-1欠損症)"
"ﾊﾟﾙﾐﾄｲﾙｶﾙﾆﾁﾝ+ｵﾚｲﾙｶﾙﾆﾁﾝ）/ｱｾﾁﾙｶﾙﾆﾁﾝ(C16+C18:1)/C2／ﾐﾘｽﾄｲﾙｶﾙﾆﾁﾝ/ﾌﾟﾛﾋﾟｵﾆﾙｶﾙﾆﾁﾝ（C14/C3）","0.40以上／0.41以上","カルニチンパルミトイルトランスフェラーゼ-2欠損症(CPT-2欠損症)"
"ガラクトース(Gal)／ｶﾞﾗｸﾄｰｽ-1-ﾘﾝ酸(Gal-1-P)／ｶﾞﾗｸﾄｰｽ-1-ﾘﾝ酸-ｳﾘｼﾞﾙﾄﾗﾝｽﾌｪﾗｰｾﾞ活性（ﾎﾞｲﾄﾗｰ法(Beu)）／UDP-ｶﾞﾗｸﾄｰｽ-4-ｴﾋﾟﾒﾗｰｾﾞ活性(Ep)","8mg/dl以上／25mg/dl以上／蛍光発色なし／蛍光発色なし","<ﾎﾞｲﾄﾗｰ法蛍光発色なし>／ガラクトース血症（ガラクトースウリジルトランスフェラーゼ欠損症）／<ﾎﾞｲﾄﾗｰ法蛍光発色あり>／ガラクトキナーゼ欠損症／エピメラーゼ欠損症／一過性ガラクトース血症"
"甲状腺刺激ﾎﾙﾓﾝ(TSH)／遊離ｻｲﾛｷｼﾝ(FT4)","9μIU/mL以上／1.0ng/dL未満(参考値)","先天性甲状腺機能低下症(CH)"
"17-ﾋﾄﾞﾛｷｼﾌﾟﾛｹﾞｽﾃﾛﾝ(17-OHP)","2.5ng/ml以上(抽出法による値)","先天性副腎過形成症(CAH)"
