"名称","所在地","緯度","経度","座標系","電話番号／FAX番号","交通機関"
"広尾看護専門学校","〒150-0013 渋谷区恵比寿2丁目34番地10号","35.647503","139.722046","JGD2011","電話：03-3443-0642／FAX：03-3440-9543","東京メトロ日比谷線広尾駅 徒歩７分"
"荏原看護専門学校","〒145-0065 大田区東雪谷4丁目5番地28号","35.593704","139.694839","JGD2011","電話：03-3727-2961／FAX：03-3727-5105","東急池上線洗足池駅 徒歩10分"
"府中看護専門学校","〒183-0042 府中市武蔵台2丁目27番地1号","35.693184","139.464981","JGD2011","電話：042-324-6411／FAX：042-326-3970","中央線・武蔵野線西国分寺駅 徒歩10分"
"北多摩看護専門学校","〒207-0022 東大和市桜が丘3丁目44番地10号","35.734173","139.418442","JGD2011","電話：042-567-0331／FAX：042-567-0336","西武拝島線玉川上水駅 徒歩5分／多摩モノレール玉川上水駅 徒歩5分"
"青梅看護専門学校","〒198-0014 青梅市大門3丁目14番地1号","35.793430","139.295303","JGD2011","電話：0428-31-9051／FAX：0428-32-0903","青梅線河辺駅～看護学校入口（旧青梅東高校入口）下車 （バス・所要時間10分） 徒歩3分"
"南多摩看護専門学校","〒206-0042 多摩市山王下1丁目18番地1号","35.625328","139.415207","JGD2011","電話：042-389-6601／FAX：042-389-6603","京王相模原線・小田急多摩線多摩センター駅 徒歩15分"
"板橋看護専門学校","〒173-0015 板橋区栄町34番1号","35.751534","139.700790","JGD2011","電話：03-5943-7040／FAX：03-5248-5481","東武東上線大山駅 徒歩5分／都営三田線板橋区役所前駅 徒歩10分"
"公衆衛生看護専門学校","平成15年3月31日をもちまして閉校となりました。","","","","",""
"豊島看護専門学校","平成16年3月31日をもちまして閉校となりました。","","","","",""
"大塚看護専門学校","平成16年3月31日をもちまして閉校となりました。","","","","",""
"松沢看護専門学校","平成17年3月31日をもちまして閉校となりました。","","","","",""
