 2-(1)入港船舶月別前年比較表,,,,,,,,,,,,(単位：隻、総トン）
年月,令和元年(2019年),,,,,,平成30年(2018年),,,,,
,総数,,外航船,,内航船,,総数,,外航船,,内航船,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
１月　,"1,894","14,030,164",429,"10,478,863","1,465","3,551,301","1,834","14,432,925",440,"10,830,089","1,394","3,602,836"
,103.3%,97.2%,97.5%,96.8%,105.1%,98.6%,,,,,,
２月　,"1,883","13,944,490",399,"10,319,664","1,484","3,624,826","1,983","13,924,842",421,"10,359,544","1,562","3,565,298"
,95.0%,100.1%,94.8%,99.6%,95.0%,101.7%,,,,,,
３月　,"2,134","15,813,494",459,"11,612,037","1,675","4,201,457","2,105","14,753,593",450,"10,811,631","1,655","3,941,962"
,101.4%,107.2%,102.0%,107.4%,101.2%,106.6%,,,,,,
４月　,"2,010","16,083,222",454,"12,224,020","1,556","3,859,202","2,021","15,131,346",460,"11,352,932","1,561","3,778,414"
,99.5%,106.3%,98.7%,107.7%,99.7%,102.1%,,,,,,
５月　,"1,846","14,410,844",403,"10,728,467","1,443","3,682,377","2,069","15,293,599",478,"11,606,409","1,591","3,687,190"
,89.2%,94.2%,84.3%,92.4%,90.7%,99.9%,,,,,,
６月　,"1,987","15,346,069",453,"11,406,060","1,534","3,940,009","2,033","15,526,232",474,"11,652,580","1,559","3,873,652"
,97.7%,98.8%,95.6%,97.9%,98.4%,101.7%,,,,,,
７月　,"2,143","15,772,021",451,"11,565,837","1,692","4,206,184","2,093","16,001,895",469,"12,070,891","1,624","3,931,004"
,102.4%,98.6%,96.2%,95.8%,104.2%,107.0%,,,,,,
８月　,"1,872","14,905,283",440,"11,290,169","1,432","3,615,114","1,947","15,349,486",466,"11,763,846","1,481","3,585,640"
,96.1%,97.1%,94.4%,96.0%,96.7%,100.8%,,,,,,
９月　,"1,862","15,124,712",438,"11,397,149","1,424","3,727,563","1,935","15,011,329",450,"11,248,574","1,485","3,762,755"
,96.2%,100.8%,97.3%,101.3%,95.9%,99.1%,,,,,,
１０月　,"1,879","14,419,132",420,"10,640,918","1,459","3,778,214","2,135","15,718,971",456,"11,688,322","1,679","4,030,649"
,88.0%,91.7%,92.1%,91.0%,86.9%,93.7%,,,,,,
１１月　,"1,961","15,001,374",452,"11,165,399","1,509","3,835,975","2,131","16,211,014",477,"12,340,431","1,654","3,870,583"
,92.0%,92.5%,94.8%,90.5%,91.2%,99.1%,,,,,,
１２月　,"1,911","15,061,038",449,"11,233,657","1,462","3,827,381","2,088","15,625,053",463,"11,702,255","1,625","3,922,798"
,91.5%,96.4%,97.0%,96.0%,90.0%,97.6%,,,,,,
累計,"23,382","179,911,843","5,247","134,062,240","18,135","45,849,603","24,374","182,980,285","5,504","137,427,504","18,870","45,552,781"
,95.9%,98.3%,95.3%,97.6%,96.1%,100.7%,,,,,,
前年累計,"24,374","182,980,285","5,504","137,427,504","18,870","45,552,781",,,,,,
増(－)減,-992,"-3,068,442",-257,"-3,365,264",-735,"296,822",,,,,,
,,,,,,,,,,,,
（注）下段：前年同月比％,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
