事業所規模,和暦年,西暦年,年平均・月・前年比・前年同月比,調査産業計,鉱業，採石業，砂利採取業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成15,2003,年平均,96.6,108.2,95.4,105,86.6,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,平成16,2004,年平均,98.3,106,96.3,105.6,104.8,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均,100,100,100,100,100,100,100,100,100,－,－,－,－,100,100,100,－
５人以上,平成18,2006,年平均,99.5,101.3,98.3,99.1,99.5,99.1,99.8,102,96.9,－,－,－,－,100.4,102.9,100.6,－
５人以上,平成19,2007,年平均,99.5,102.3,99.3,98.4,99.2,101.5,101.6,101.2,98.7,－,－,－,－,96.7,106.1,99.4,－
５人以上,平成20,2008,年平均,98.2,104.2,97.5,98.3,101.3,102.9,102.7,101.9,98.8,－,－,－,－,90.8,105.5,108.3,－
５人以上,平成21,2009,年平均,98.6,107.8,99.2,98,105.5,105.1,103,102.2,98.8,－,－,－,－,90,108.6,110.7,－
５人以上,平成22,2010,年平均,99.9,108.6,98,102.1,106.4,107.9,103.1,104.7,101.8,－,－,－,－,94.5,110,111.3,－
５人以上,平成22,2010,1月,99.5,108.2,97.6,99,107,107.7,101.4,106.6,100.9,－,－,－,－,91,113.9,112.1,－
５人以上,平成22,2010,2月,99.9,109.5,98,102.1,107,106.5,105.7,104.8,102,－,－,－,－,93.2,112.9,110.6,－
５人以上,平成22,2010,3月,101.1,109.5,99.5,101.2,109.7,108.8,105.9,106.2,102.1,－,－,－,－,99.5,110.7,114.5,－
５人以上,平成22,2010,4月,101.5,113,98.1,102.7,108.7,107.5,105.7,106.9,103.2,－,－,－,－,98.3,113.2,114.7,－
